name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier
002192,"YOUNGY Co., Ltd. Class A",65.43,17923998995.0,14.217422481041265,3.736000703462153,30.0705631930238,22.6263822190295,327076840.0,,181821355.69,235.61857431040752,787.3280335611763,787.2373240794293,0.318702013617268,19793696.7,Non-Energy Minerals,Construction Materials,SZSE:002192,A,1295101575.081,0.4728020020702381,26.277623165830924,0.5410467450316561,1.0,0.4728020020702381,12.613465211296127,cyclical,True,0.0,0.4728020020702381,priority
605499,Eastroc Beverage (Group) Co. Ltd. Class A,120.41,80459766012.82864,17.092767407197105,4.495278855874812,34.7901112009922,16.7155232750374,4888065410.0,,6059043393.62,20.743504365935337,23.582905520871936,27.145564479740102,2.86105785401951,8608623.766666668,Consumer Non-Durables,Beverages: Non-Alcoholic,SSE:605499,A,1036564387.7443334,0.49131108861502076,26.29930396163949,0.6499323112173934,1.0,0.49131108861502076,24.405806553186736,stable_or_general,True,0.0,0.49131108861502076,priority
688578,Shanghai Allist Pharmaceuticals Co. Ltd. Class A,110.55,49986000824.0,18.57171656083056,5.878886952008499,36.7115747778828,32.6328785854394,2631107510.0,,4257814.08,40.8281095612533,46.78027400862699,46.78206835330672,0.900252070579762,8058136.733333333,Health Technology,Pharmaceuticals: Major,SSE:688578,A,890827015.87,0.5058817736148776,31.655054247422704,0.5866904038663158,1.0,0.5058817736148776,13.773641041153173,health_special,True,0.0,0.5058817736148776,priority
601168,"Western Mining Co., Ltd. Class A",38.79,95320000000.0,15.554575346860215,4.122972791993418,30.460052959274105,9.75410895926303,2120189210.0,,27382869773.0,22.663573583015783,86.86095948710813,86.85748538888055,0.25,69539070.23333333,Non-Energy Minerals,Other Metals/Minerals,SSE:601168,A,2697420534.351,0.5106549016069373,26.506495356208262,0.5868212729683661,1.0,0.5106549016069373,12.9794836809767,cyclical,True,0.0,0.5106549016069373,priority
603699,"Neway Valve (Suzhou) Co., Ltd. Class A",45.62,36025404315.0,20.459234012019014,7.499367107335308,38.8883876414937,17.4444279506344,1573137160.0,,3193140855.02,21.40327638874775,30.1755512486392,28.800831792975966,3.43283582089552,6749698.933333334,Producer Manufacturing,Industrial Machinery,SSE:603699,A,307921265.3386667,0.5261013699161218,36.65517048648898,0.5581541086968957,1.0,0.5261013699161218,5.74263241662889,cyclical,True,0.0,0.5261013699161218,priority
603605,"Proya Cosmetics Co., Ltd. Class A",63.04,24807136694.0,13.605265997625985,3.677572988506418,30.029211999615,19.4694412703874,1741721450.0,,929364858.36,-4.744642787298599,13.23970257740186,10.471353980401963,3.18877551020408,5950118.633333329,Consumer Non-Durables,Household/Personal Care,SSE:603605,A,375095478.64533305,0.45306769947211456,27.030511488331992,0.5033299500639802,1.0,0.45306769947211456,9.985944723829087,stable_or_general,True,0.08,0.5330676994721145,priority
603025,"Beijing Dahao Technology Corp., Ltd. Class A",13.43,15017990295.0,17.659434582511505,5.393769252703913,32.6799847893319,17.5797706487175,532085510.0,,1202781852.13,23.86592121435898,27.49911599789346,27.51509054325954,3.33333333333333,10889618.099999996,Electronic Technology,Computer Peripherals,SSE:603025,A,146247571.08299994,0.5403746267432865,30.54327264840898,0.5781775511024486,1.0,0.5403746267432865,6.538289888128801,technology_strict,True,0.0,0.5403746267432865,priority
603929,L&K Engineering (Suzhou) Co. Ltd. Class A,150.26,33070800095.0,26.242162804100662,13.427064837907464,58.129510362181,23.864481822664,651890620.0,,100000000.0,36.96383351506071,118.35483462858312,118.35411661518513,1.70967741935484,6134857.066666666,Industrial Services,Engineering & Construction,SSE:603929,A,921823622.8373332,0.45144303883856185,51.165999304787945,0.5128828354896414,1.0,0.45144303883856185,11.979304511609158,cyclical,True,0.1,0.5514430388385618,priority
600096,Yunnan Yuntianhua Co. Ltd. Class A,30.8,56366873284.0,10.535677635629746,2.210141391642795,22.1994945565664,10.3323958063094,5080829270.0,,14321972578.4,-15.203315212673548,1.451478021973386,1.4505830094391947,4.52781371280724,33145166.1,Transportation,Air Freight/Couriers,SSE:600096,A,1020871115.8800001,0.47459087903032426,20.977686182884895,0.502232588655345,1.0,0.47459087903032426,5.503766631119545,stable_or_general,True,0.08,0.5545908790303242,priority
000680,"Shantui Construction Machinery Co., Ltd. Class A",10.6,15392412893.0,11.945007888212757,2.3603812238353967,21.4434151999867,6.93590546836669,836746270.0,,8034504666.4800005,11.116084280608892,10.182094920372021,10.167597765363125,1.29434324065197,21074107.233333334,Producer Manufacturing,Trucks/Construction/Farm Machinery,SZSE:000680,A,223385536.67333335,0.5570478292198607,19.76039903803331,0.6044922405272241,1.0,0.5570478292198607,7.848638597243762,cyclical,True,0.0,0.5570478292198607,priority
600595,"Henan Zhongfu Industrial Co., Ltd Class A",6.36,25971224666.0,9.13399396811719,1.3931878372073154,16.1794090666393,10.9069032804081,875924610.0,,6164055575.2,20.1252912445122,188.36570335332547,186.77924217462933,2.70061728395062,110414301.56666666,Non-Energy Minerals,Aluminum,SSE:600595,A,702234957.964,0.5645443495801578,15.252778161123487,0.598841330518925,1.0,0.5645443495801578,5.727223421444072,cyclical,True,0.0,0.5645443495801578,priority
300628,Yealink Network Technology Co. Ltd. Class A,42.08,52795564683.0,18.48532771041996,5.779283028300358,32.3973539415752,29.322775125903398,1812548340.0,,5716193.569999999,20.59785435142559,14.131107312377456,14.185393258426974,4.30416068866571,14367558.766666671,Electronic Technology,Telecommunications Equipment,SZSE:300628,A,604586872.9013335,0.5705814043874097,31.26416322629025,0.5912625128209259,1.0,0.5705814043874097,3.497787866652702,technology_strict,True,0.0,0.5705814043874097,priority
601872,"China Merchants Energy Shipping Co., Ltd. Class A",19.2,155838588322.0,14.292094685127289,3.3099681760351407,24.850409315428,12.8631757317965,4040560490.0,,30327857502.23,40.137667032856875,129.07781118821063,130.03424657534245,1.6580310880829,105475076.13333318,Transportation,Marine Shipping,SSE:601872,A,2025121461.759997,0.5751251218326717,23.159433581695875,0.6171176265909667,1.0,0.5751251218326717,6.804619240948718,cyclical,True,0.0,0.5751251218326717,priority
