name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier
293,Cathay Pacific Airways Limited,13.88,84406056360.0,6.721875151339048,1.4548259763999556,24.4729739587133,7.604153386313091,18735000000.0,,63495000000.0,19.657853239942792,35.20048357848076,46.43642294872706,6.05187319884726,24273846.0,Transportation,Airlines,HKEX:293,HK,336920982.48,0.2746652353195434,21.64315676273969,0.3105773905824708,0.8,0.3433315441494293,11.5630294901944,cyclical,True,False,not_triggered,0.0,0.3433315441494293,priority
2899,"Zijin Mining Group Co., Ltd. Class H",34.82,982449254384.0,12.610915939299556,3.9454838826643464,39.1507265999703,13.6355337072611,78511100060.0,,200204982435.363,21.19913774481032,74.52429440303759,72.19207982538198,2.64419299253303,56223547.966666594,Non-Energy Minerals,Precious Metals,HKEX:2899,HK,1957703940.1993308,0.3221119257416061,31.286259472787265,0.4030816132004693,0.8,0.4026399071770076,20.087665824288948,cyclical,True,False,not_triggered,0.0,0.4026399071770076,priority
1308,"SITC International Holdings Co., Ltd.",45.36,122994926264.0,12.357316043261504,5.538292481914471,46.8477884433946,36.305923077423,10141048770.0,,2567518538.2,5.186015981809692,-2.638012178355432,-3.1426460499234783,5.0705467372134,5720660.6,Transportation,Marine Shipping,HKEX:1308,HK,259489164.816,0.2637758676312467,44.817923750801256,0.2757226352557347,0.8,0.3297198345390584,4.332893312660846,cyclical,True,True,review_high_roa_supports_follow_up,0.1,0.4297198345390584,priority
1585,Yadea Group Holdings Ltd.,8.56,25562324241.0,9.510054438395734,2.1953390080453024,25.0412255172972,8.03549668944405,2997915420.0,,9026682180.3652,13.191990450510808,35.52397569544348,35.069027611044426,6.19158878504673,11317676.466666669,Consumer Durables,Motor Vehicles,HKEX:1585,HK,96879310.55466668,0.3797759191868095,23.084400013336175,0.4119688808416786,0.8,0.4747198989835119,7.814415882359072,cyclical,True,False,not_triggered,0.0,0.4747198989835119,priority
2510,T.S. Lines Limited,13.63,22694372800.0,7.7899068411727725,1.3232958318608474,17.8216748712375,14.3158259525383,1337693420.0,,1309951716.1,,,,5.72267057960381,4279635.166666667,Transportation,Marine Shipping,HKEX:2510,HK,58331427.32166667,0.4371029601569572,16.98731267063041,0.4585720526967662,0.8,0.5463787001961965,4.681727203730313,cyclical,True,False,not_triggered,0.0,0.5463787001961965,priority
883,CNOOC Limited,24.38,1202135031692.0,7.458622694037385,1.1712397702679005,16.78691704247,11.8794110184119,150297336310.0,,78690939429.304,10.531513069035286,12.717803724573292,12.725454357347305,5.25020508613618,59296472.49999993,Energy Minerals,Integrated Oil,HKEX:883,HK,1445647999.5499983,0.4443116431187137,15.703164220979025,0.4749757812551471,0.8,0.5553895538983922,6.455937196503337,cyclical,True,False,not_triggered,0.0,0.5553895538983922,priority
564,ZCZL Industrial Technology Group Company Limited Class H,12.38,27677689890.0,5.741848708315941,0.7897145736785198,14.7077940194998,6.63634662972856,932796680.0,,13790131779.707998,8.982631507688065,-18.28642253303251,-17.536143195899946,11.5694991922456,1242625.2666666666,Producer Manufacturing,Auto Parts: OEM,HKEX:564,HK,15383700.801333334,0.3903949634257399,13.75366391202146,0.4174777532041662,0.8,0.4879937042821748,6.4872414327624135,cyclical,True,False,not_triggered,0.1,0.5879937042821749,priority
1651,Precision Tsugami (China) Corp. Ltd.,50.25,18522854187.0,15.391919625080408,4.464781536684511,32.192536246929,23.5449019144656,1143151900.0,,91787153.7013983,23.92836897851255,42.602679401505554,46.18277884744549,2.98507462686567,1675818.1333333333,Producer Manufacturing,Industrial Machinery,HKEX:1651,HK,84209861.2,0.4781207515623661,29.007308025500343,0.5306221318968779,0.8,0.5976509394529576,9.894306546699983,cyclical,True,False,not_triggered,0.0,0.5976509394529576,priority
9973,"Chery Automobile Co.,Ltd. Class H",24.94,144866600122.0,6.9476557929632,2.3159239738061013,41.0295361454599,6.77288478031003,,,16952160432.6937,,,,3.94775862068966,2181323.466666667,Consumer Durables,Motor Vehicles,HKEX:9973,HK,54402207.25866667,0.1693330328749522,33.333890492268495,0.2084261899934737,0.8,0.2116662910936902,18.75635548476208,cyclical,False,True,review_possible_equity_or_leverage_distortion,0.25,0.4616662910936902,watch
1179,H World Group Limited,33.84,102239967941.0,19.574271170754283,6.38744858802278,38.0507600511754,7.79155353229896,9040057780.0,,39565057284.7585,13.35011046450848,38.64430062441698,35.125840237611364,4.87757387706856,1983356.6,Consumer Services,Hotels/Resorts/Cruise lines,HKEX:1179,HK,67116787.34400001,0.5144252347240467,32.631859098622286,0.5998515472745685,0.8,0.6430315434050583,14.241242343819415,cyclical,True,False,not_triggered,0.0,0.6430315434050583,watch
2099,China Gold International Resources Corp. Ltd.,266.6,105683910122.0,17.467535020245567,5.121634004883419,33.6205175127488,22.9961853867758,6577560340.0,,3743049675.25,46.106339401700815,163.54051815602756,163.5390406464758,1.02826594148537,2968727.966666667,Non-Energy Minerals,Precious Metals,HKEX:2099,HK,791462875.9133334,0.5195498556386566,29.320874404701307,0.5957371795653141,0.8,0.6494373195483207,12.7887475450581,cyclical,True,False,not_triggered,0.0,0.6494373195483207,watch
1378,China Hongqiao Group Ltd.,22.5,220936464844.0,7.319929728674605,1.4361818244487934,22.442331849913,11.6700120879165,,,67290553752.0379,6.877135633506964,11.776113156377386,5.0871794871794895,7.33333333333333,33426969.433333337,Non-Energy Minerals,Aluminum,HKEX:1378,HK,752106812.25,0.3261661835155058,19.620158631069785,0.373082086965547,0.8,0.4077077293943823,12.575222742970691,cyclical,False,False,not_triggered,0.25,0.6577077293943823,watch
1133,Harbin Electric Co. Ltd. Class H,14.89,33298150168.0,8.935965912500752,1.5340931335681007,18.9305940146577,3.9523151047633807,7049798220.0,,7597429619.07465,13.477776996242996,55.89041902764082,55.889231920666106,2.73128274009402,6412846.5,Producer Manufacturing,Electrical Products,HKEX:1133,HK,95487284.385,0.4720383261920759,17.16762517437559,0.5205126406090564,0.8,0.5900479077400949,9.31280254025345,cyclical,True,False,not_triggered,0.1,0.6900479077400948,watch
1882,Haitian International Holdings Limited,17.51,27945960365.0,7.889875185869419,1.0409297625063163,14.017008583516304,9.01325015859404,2419436530.0,,4147737609.16821,7.743758989509695,0.3293853329564221,0.3300180831826338,4.56881781838949,3168087.7,Producer Manufacturing,Industrial Machinery,HKEX:1882,HK,55473215.62700001,0.5628786726397343,13.193234848259667,0.5980243114455117,0.8,0.7035983407996679,5.876958199379089,cyclical,True,False,not_triggered,0.0,0.7035983407996679,watch
340,Tongguan Gold Group Ltd.,2.955,15701959143.0,14.52802359882006,3.212166010826793,25.4954589441576,15.090645558923402,499183000.0,,748286000.046906,64.96150776724457,118.80374081515426,83.40847610459873,1.082910321489,26073242.666666668,Non-Energy Minerals,Precious Metals,HKEX:340,HK,77046432.08,0.5698278909448391,22.110137617670716,0.6570752226892098,0.8,0.7122848636810488,13.27813448623033,cyclical,True,False,not_triggered,0.0,0.7122848636810488,watch
1208,MMG Ltd.,9.07,116517042486.0,13.750758035172831,2.5929250596058298,22.4369837665263,6.36405946416614,18177005580.0,,24352702070.0,48.10534458847126,122.67230409088414,107.09576138147564,0.0,60661105.1,Non-Energy Minerals,Other Metals/Minerals,HKEX:1208,HK,550196223.2570001,0.6128612552498062,18.85659723611913,0.7292279653103984,0.8,0.7660765690622576,15.957521597661206,cyclical,True,False,not_triggered,0.0,0.7660765690622576,watch
6693,Chifeng Jilong Gold Mining Group Limited Class H,39.12,92672998324.0,17.837763895855183,4.454383559772088,28.248859151301904,15.0641777734108,3395472040.0,,917624570.653548,47.35219724941116,77.30168902633717,77.30616864742498,0.934688139059305,8112828.233333333,Non-Energy Minerals,Precious Metals,HKEX:6693,HK,317373840.488,0.6314507711732881,24.971647712004515,0.7143206608380956,0.8,0.7893134639666101,11.601216961522333,cyclical,True,False,not_triggered,0.0,0.7893134639666101,watch
175,Geely Automobile Holdings Limited,16.12,174882410081.0,9.33464589727257,1.5996665707395978,17.9748774820255,5.75584051514803,,,8652988053.164999,34.63497177287369,12.951400374586427,6.690967502780184,3.10173697270471,41781779.86666667,Consumer Durables,Motor Vehicles,HKEX:175,HK,673522291.4506667,0.5193162460554749,17.136874696093123,0.5447111018090531,0.8,0.6491453075693435,4.66207787380114,cyclical,False,False,not_triggered,0.25,0.8991453075693435,watch
2259,Zijin Gold International Company Limited,160.1,428481947146.0,21.65913579912876,5.850601011302514,38.9176811113979,23.8305003135569,,,4004401675.6,106.34666584316496,222.5563956903622,216.24026696329253,1.8738288569644,9189272.2,Non-Energy Minerals,Precious Metals,HKEX:2259,HK,1471202479.2199998,0.5565371620454901,27.012162745375345,0.8018290132224584,0.8,0.6956714525568626,30.591540980934152,cyclical,False,False,not_triggered,0.35,1.045671452556863,watch
1258,China Nonferrous Mining Corp. Ltd.,16.5,64383592163.0,14.331625119430209,2.977135598602731,22.4432297635746,10.9747019563844,,,677380594.9,10.774663550691596,30.25635385945123,30.267028739533824,1.96981818181818,16665300.7,Non-Energy Minerals,Other Metals/Minerals,HKEX:1258,HK,274977461.55,0.6385723120248255,20.773189179826208,0.6899097194641785,0.8,0.7982153900310318,7.4411775904859585,cyclical,False,False,not_triggered,0.25,1.0482153900310318,watch
1171,Yankuang Energy Group Company Limited Class H,12.98,201874730399.0,9.950935295921497,1.480678739483816,17.2183842656113,2.77810757716118,-2165395670.0,,202616672186.256,32.88814842523928,6.7976569414927,6.5251122907309185,4.35208012326656,30382593.233333327,Energy Minerals,Coal,HKEX:1171,HK,394366060.1686666,0.5779250330587399,14.879794667046914,0.6687548799284868,0.8,0.7224062913234248,13.581934068198477,cyclical,False,False,not_triggered,0.35,1.072406291323425,watch
2768,"Qingdao Gon Technology Co., Ltd. Class H",36.64,25173435290.0,12.313482995026211,1.9302273390572864,18.475489493048,5.44831062407165,-1320295670.0,,14013067516.3085,21.24961692524004,59.71930544609355,,1.05961517467249,1197085.0666666664,Process Industries,Chemicals: Specialty,HKEX:2768,HK,43861196.842666656,0.6664766852136481,15.675721807038377,0.7855129828533624,0.8,0.8330958565170601,15.153956743950548,cyclical,False,False,not_triggered,0.25,1.08309585651706,watch
3877,CSSC (Hong Kong) Shipping Company Limited,2.48,15387519767.0,8.472839084386743,0.9788945596355988,12.9678216631721,4.60318866460148,,,25315019000.0626,-3.094555518842246,4.14946415234328,-3.748766853008868,4.03225806451613,11919412.8,Transportation,Marine Shipping,HKEX:3877,HK,29560143.744000003,0.6533741213028199,11.553324096989506,0.7333680777287761,0.8,0.8167176516285248,10.9077499901135,cyclical,False,False,not_triggered,0.43,1.2467176516285248,watch
LTM,LATAM Airlines Group S.A.,51.29,14612517115.865698,9.63282937365011,7.388829024023418,107.343428507644,8.63060361420044,1751077010.0,,8990748134.9226,20.16449185607764,33.21194153869491,37.102173241322475,1.86841294599337,814845.1,Transportation,Airlines,NYSE:LTM,US,41793405.179,0.0897384172237814,76.70466004759736,0.1255833656999805,1.0,0.0897384172237814,28.542751881513485,cyclical,True,True,review_possible_equity_or_leverage_distortion,0.0,0.0897384172237814,priority
ECO,Okeanis Eco Tankers Corp.,76.15,2920258323.9999995,7.10096140396684,3.388273946954269,61.5919910455297,29.4350134271386,44692060.0,,722493783.004812,105.24219735077509,498.5632077171379,413.8920835729346,12.5410374261326,573571.1333333333,Transportation,Marine Shipping,NYSE:ECO,US,43677441.803333335,0.1152903369971869,47.71570713032553,0.1488181110796921,1.0,0.1152903369971869,22.52936409369625,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.1152903369971869,priority
CSTM,Constellium SE,26.17,3546760979.000001,6.732525533173831,2.846517557150611,53.8005923000067,9.52963804859117,221702000.0,,1923000000.01281,25.94174723130884,1903.890854823565,1921.372854914197,0.0,1428837.8666666667,Non-Energy Minerals,Aluminum,NYSE:CSTM,US,37392686.97066667,0.125138502112234,42.28008558043615,0.1592363270023537,1.0,0.125138502112234,21.41334551733015,cyclical,True,True,review_possible_equity_or_leverage_distortion,0.0,0.125138502112234,priority
