name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier,history_type,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,stage2_rank,stage2_tier
605499,Eastroc Beverage (Group) Co. Ltd. Class A,120.81,81732272306.67874,17.149549293775287,4.510212096821161,34.7901112009922,16.7155232750374,4888065410.0,,6059043393.62,20.743504365935337,23.582905520871936,27.145564479740106,2.81629831967552,8804830.500000002,Consumer Non-Durables,Beverages: Non-Alcoholic,SSE:605499,A,1063711572.7050004,0.4929432158091575,26.299303961639488,0.6520913754519833,24.405806553186736,stable_or_general,True,0.0,0.4929432158091575,priority,stable,3,usable,46.1025,17.215170076741668,34.7901112009922,16.7155232750374,current_ttm,0.3719874040187688,0.49294321580915756,pe,"2023,2024",0.4385131005034827,priority_refine
000651,"Gree Electric Appliances, Inc. of Zhuhai Class A",39.0,207939106934.0,7.795478622399008,1.4709964756433158,19.6322235112199,6.96422965064431,44372749650.0,,106263968359.09,-12.915115176127786,-14.148026898616642,-15.137482401234871,7.69230769230769,50638336.299999975,Producer Manufacturing,Industrial Machinery,SZSE:000651,A,1974895115.699999,0.397075686202526,18.869867353835755,0.4131178283462808,3.8831880502402383,cyclical,True,0.18,0.577075686202526,priority,cyclical,10,usable,24.99328571428571,8.382754457614285,19.6322235112199,6.96422965064431,current_ttm,0.23548590869099897,0.38165649060550016,pb,"2020,2021,2022,2025",0.44587972874397463,priority_refine
ADBE,Adobe Inc.,291.52,115879195633.0,16.67362544969944,10.098669180248704,62.9539318993294,24.9104066161268,10280000000.0,,7065000000.0,11.49064200699084,5.2409375454942495,11.805369041681042,0.0,4818932.233333333,Technology Services,Packaged Software,NASDAQ:ADBE,US,1404815124.661333,0.2648543934692195,60.56672683882763,0.2752934873642609,3.791987233329897,technology_strict,True,0.1,0.3648543934692195,priority,technology,5,usable,42.005208337206,20.316036447328,33.55414014024167,17.997433223033333,weak_history,0.39694185815835653,0.49691708325741496,pe,"2021,2022",0.45192823196283866,priority_refine
6110,Topsports International Holdings Limited,1.125,6976374939.0,5.049371633752244,0.7091662096484427,14.166469915986102,8.64742532992503,2745118910.0,,3980959430.10926,-3.552403351753338,-0.6077116410583117,-0.6244424620874274,14.3644444444444,43348019.46666667,Retail Trade,Apparel/Footwear Retail,HKEX:6110,HK,48766521.900000006,0.3564311831880078,14.044642800859824,0.3595229658274483,0.8599680502536788,stable_or_general,True,0.18,0.5364311831880078,priority,stable,3,usable,16.126748239330084,10.083446402978002,14.006670712264778,8.740793371549668,weak_history,0.3131053798829564,0.36049763269802726,pe,"2025,2026",0.4691711189312454,priority_refine
151,Want Want China Holdings Limited,3.15,36961227486.0,8.806262230919765,1.6463787507382572,20.2897950586787,13.6967055420816,4230424600.000001,,3191310498.97224,5.79956317923007,-9.740338289237712,-9.694521585458212,5.05396825396826,13631822.233333332,Consumer Non-Durables,Food: Meat/Fish/Dairy,HKEX:151,HK,42940240.035,0.434024208004654,18.69554536949443,0.4710353218841621,7.857396708905395,stable_or_general,True,0.1,0.534024208004654,priority,stable,3,usable,23.400120154641,14.750299511454918,20.2897950586787,13.6967055420816,current_ttm,0.3763340603690532,0.434024208004654,pe,"2025,2026",0.4880636415686337,priority_refine
1882,Haitian International Holdings Limited,17.75,28329000000.0,7.998017392871626,1.0551972178462088,14.017008583516304,9.01325015859404,2419436530.0,,4147737609.16821,7.743758989509695,0.3293853329564221,0.3300180831826338,4.50704225352113,2555339.533333333,Producer Manufacturing,Industrial Machinery,HKEX:1882,HK,45357276.71666666,0.5705937429671778,13.193234848259667,0.6062211038353987,5.876958199379101,cyclical,True,0.0,0.5705937429671778,priority,cyclical,9,short_history,15.639588644366068,10.069409755270778,14.017008583516304,9.01325015859404,current_ttm,0.4314028258084987,0.537060187204724,pb,"2019,2022,2023,2025",0.48951437457642266,priority_refine
603444,"G-Bits Network Technology (Xiamen) Co., Ltd. Class A",388.08,27957708945.0,12.428900845503458,4.597758888728027,39.4799594237808,26.12710713473,3034145910.0,,24240639.42,74.27627798657514,109.04808114480116,109.59643422925112,5.05050505050505,2013433.2666666664,Technology Services,Packaged Software,SSE:603444,A,781373182.1279999,0.3148154412240073,36.9924818443733,0.3359845089007982,6.30060824710259,technology_strict,True,0.0,0.3148154412240073,priority,technology,5,usable,28.8942,24.408644193371998,22.468571428571426,19.476177705999998,weak_history,0.4301521013041876,0.5531682726254082,pe,"2023,2024",0.49781099553085895,priority_refine
1361,361 Degrees International Ltd.,4.565,9895467928.0,6.125872249060656,0.7542774055500938,12.8441046271852,9.24275152552987,747174180.0,,553880753.161199,13.070118241531627,18.224686344318812,17.557974443918592,6.94414019715225,3855923.7,Consumer Non-Durables,Apparel/Footwear,HKEX:1361,HK,17602291.690500002,0.476940388362684,12.312979684905365,0.4975133887835809,4.135165180418121,stable_or_general,True,0.0,0.476940388362684,priority,stable,3,usable,12.579021997729667,8.69697993774075,11.95214539022443,8.189103401195572,weak_history,0.48699113891098117,0.5125332774207182,pe,"2023,2024",0.5010393150913366,priority_refine
1910,Samsonite Group S.A.,12.55,17455715909.0,8.579436696745967,1.334308636751219,17.723640066972,5.01604210284121,3851009140.0,,18325302440.1221,1.2738061782196628,-10.986337786593156,-9.216160863898706,6.38406374501992,3242418.7666666666,Consumer Durables,Other Consumer Specialties,HKEX:1910,HK,40692355.52166667,0.4840674186751144,15.552403775615003,0.5516469878564931,12.250509958183454,stable_or_general,True,0.1,0.5840674186751144,priority,stable,3,usable,24.09617613919792,6.7335752822759165,17.723640066972,5.01604210284121,current_ttm,0.35604971706649996,0.4840674186751144,pe,"2024,2025",0.5064594529512378,priority_refine
1318,"Mao Geping Cosmetics Co., Ltd. Class H",49.9,35854723953.0,16.266788368757332,4.265387449332497,29.3004445555415,24.300789652431,1301336250.0,,104905072.434934,32.223519859219564,31.749800285307444,30.536170212765956,2.28645290581162,3040979.7666666666,Consumer Non-Durables,Household/Personal Care,HKEX:1318,HK,151744890.35666665,0.555172067028616,26.22144797509493,0.6203619412706534,10.508361313802151,stable_or_general,True,0.0,0.555172067028616,priority,stable,3,usable,36.2694643293635,28.0323123004475,29.3004445555415,24.300789652431,current_ttm,0.44849816972862916,0.555172067028616,pe,"2024,2025",0.507168813243622,priority_refine
3998,Bosideng International Holdings Limited,4.415,51360936275.0,11.67989417989418,2.4795152168663197,22.6902973751023,14.0336271808393,6247051230.0,,7253272245.8238,8.077352320679388,16.446029820440586,13.71841155234658,6.40996602491506,23058361.766666666,Consumer Non-Durables,Apparel/Footwear,HKEX:3998,HK,101802667.19983332,0.5147528032272658,21.22891850454063,0.5501879041740153,6.440545253343477,stable_or_general,True,0.0,0.5147528032272658,priority,stable,3,usable,22.95048758985125,13.546674762948584,22.6902973751023,14.0336271808393,current_ttm,0.5089170386540742,0.5147528032272658,pe,"2025,2026",0.5121267091693296,priority_refine
CHKP,Check Point Software Technologies Ltd.,138.32,14122560126.0,14.167631182718605,5.267429032323172,37.6388664549214,15.889323271826,1186974490.0,,1974900000.0,4.640775228998736,22.200209765745218,27.25293918302442,0.0,1140422.2,Technology Services,Internet Software/Services,NASDAQ:CHKP,US,157743198.704,0.3764096137083889,37.17932069510871,0.3810621312557357,1.2209341117195405,technology_strict,True,0.0,0.3764096137083889,priority,technology,5,usable,31.201150162546,14.80281532076,25.13751862065,13.787182863608333,weak_history,0.4540740039681451,0.5636050000209711,pe,"2021,2022",0.5143160517971994,priority_refine
603605,"Proya Cosmetics Co., Ltd. Class A",61.35,24265266802.0,13.240530916154096,3.578983230407182,30.029211999615,19.4694412703874,1741721450.0,,929364858.36,-4.744642787298599,13.23970257740186,10.471353980401965,3.2599837000815,5815974.633333329,Consumer Non-Durables,Household/Personal Care,SSE:603605,A,356810043.75499976,0.4409216903967993,27.030511488331992,0.489836491694562,9.98594472382911,stable_or_general,True,0.08,0.5209216903967993,priority,stable,3,usable,29.078333333333337,19.837740675283335,27.3525,19.083680895525,weak_history,0.45534008996918995,0.4840702281749053,pe,"2023,2025",0.5211416659823335,priority_refine
2020,ANTA Sports Products Ltd.,77.4,214854713367.0,12.18552221417551,2.6505905269127403,24.1578948465741,12.919034907579602,22944036750.0,,38137738077.34251,16.637270096937968,11.792863489284937,12.530782177340772,3.16537467700258,7397409.533333333,Consumer Non-Durables,Apparel/Footwear,HKEX:2020,HK,572559497.88,0.5044115926311176,21.751964998506903,0.5602032834740194,9.959186689681244,stable_or_general,True,0.0,0.5044115926311176,priority,stable,3,usable,24.02696219074267,13.025901922952418,22.261719205152,11.925217075540624,weak_history,0.5071603358526307,0.5473756138005473,pe,"2023,2025",0.5292787387239849,priority_refine
322,Tingyi (Cayman Islands) Holding Corp.,12.85,72440421486.0,13.893393880419504,4.855634614439939,36.0576208232554,7.985451018050591,6882429180.0,,20329164161.5793,3.527495131736362,17.29880393984028,17.268923545074184,3.58661478599222,20238220.6,Consumer Non-Durables,Beverages: Non-Alcoholic,HKEX:322,HK,260061134.71,0.3853108874964636,34.94923311202724,0.3975307222303058,3.0739346798868916,stable_or_general,True,0.0,0.3853108874964636,priority,stable,3,usable,27.409587605210085,7.208740124915916,24.97565624650443,6.409417323255143,weak_history,0.5068808068377728,0.5562774304424538,pe,"2023,2024",0.5340489498203473,priority_refine
605599,"Beijing Caishikou Department Store Co., Ltd. Class A",16.45,12794445930.0,11.514769704605907,2.8926637124569177,26.605560253934403,13.5312390809598,1043080240.0,,155569572.35,41.332755362045255,42.82847173132896,42.83143371325736,4.74164133738602,11267886.666666666,Retail Trade,Specialty Stores,SSE:605599,A,185356735.66666663,0.4327956109438858,25.12133361468664,0.4583661791694867,5.578633282222567,stable_or_general,True,0.0,0.4327956109438858,priority,stable,3,usable,22.2275,12.349675233066666,19.197142857142858,11.2800710504,weak_history,0.518041601826832,0.5998168472409685,pe,"2023,2024",0.5630179868046071,priority_refine
600809,Shanxi Xinghuacun Fen Wine Factory Co. Ltd. Class A,119.03,144645423065.0,13.223645473431615,3.2252863752447145,26.3289610340015,18.2283615746556,9530628270.0,,1218447397.97,-0.2061888136557139,-13.040326498371096,-13.041000077285725,5.51121565991767,9792188.466666674,Consumer Non-Durables,Beverages: Alcoholic,SSE:600809,A,1165564193.1873343,0.5022471436056462,24.390296773494285,0.5421682891453036,7.363238746882583,stable_or_general,True,0.18,0.6822471436056461,priority,stable,3,usable,37.94166666666667,24.173289401858334,26.3289610340015,18.2283615746556,current_ttm,0.3485256878567524,0.5022471436056462,pe,"2024,2025",0.563072488518644,priority_refine
PDD,PDD Holdings Inc.,85.69,121970846304.0,9.5049526915355,1.8482470339938115,22.9436193816255,15.1072366213241,,,713885695.75854,13.529529753296712,-1.594457918651893,-1.6988147550457338,0.0,6084321.966666667,Retail Trade,Department Stores,NASDAQ:PDD,US,521365549.3236667,0.4142743362953268,19.445094509936297,0.4888097965622404,15.248356475487078,hybrid_platform,False,0.35,0.7642743362953268,watch,technology,5,usable,32.748702235918,18.448046195008,22.9436193816255,15.1072366213241,current_ttm,0.2902390642249845,0.41427433629532684,pe,"2021,2025",0.5884584638636727,priority_refine
1999,Man Wah Holdings Limited,3.115,11973907937.0,6.667380136986302,0.8517957440292264,13.478910261337202,8.49589861527141,1070727000.0,,4840131000.0,-2.8007114157473696,-12.129930083966157,-12.163940590336535,7.70465489566613,5964700.466666667,Consumer Durables,Home Furnishings,HKEX:1999,HK,18580041.95366667,0.4946527581024826,12.775568912053116,0.5218851843612192,5.218087632065793,stable_or_general,True,0.18,0.6746527581024826,priority,stable,3,usable,16.0318212094605,9.930325458661333,13.478910261337202,8.49589861527141,current_ttm,0.4158841375458847,0.49465275810248266,pe,"2025,2026",0.5892068788520136,priority_refine
HON,Honeywell International Inc.,217.43,68912262409.0,8.039831238606572,3.717552204824936,49.8960498960499,11.0937770844167,4148000000.0,,34955000000.0,-2.4080418094071168,50.83085534371173,53.73390557939914,0.0,3158260.266666661,Producer Manufacturing,Industrial Machinery,NASDAQ:HON,US,686700529.781332,0.1611316177404066,46.239182073543695,0.1738748584656876,7.328972594272864,cyclical,True,0.08,0.2411316177404067,priority,cyclical,10,usable,29.925779456095714,8.09824748074857,23.59775082477619,7.047545476990476,weak_history,0.4151128085120428,0.6675992713275665,pb,"2016,2017,2020,2022",0.6039803630605809,priority_refine
3993,CMOC Group Limited Class H,17.69,466991778582.0,12.074261142584124,3.634003093730163,34.015594962731,13.505755792798302,20194215790.0,,54613353740.2732,25.055798742078945,72.20866524162804,72.97520661157026,1.84527981910684,41287192.100000314,Distribution Services,Wholesale Distributors,HKEX:3993,HK,730370428.2490056,0.3549625151585096,30.09710532857017,0.4011768245075195,11.519685716078476,stable_or_general,True,0.0,0.3549625151585096,priority,stable,3,usable,21.662340228144334,8.415285579506001,18.201729105653857,6.598132479387429,weak_history,0.5573848908021903,0.6633579190470202,pe,"2023,2024",0.6156700563368468,priority_refine
GOOGL,Alphabet Inc.,346.59,4218290532440.001,17.411945562237193,6.809780982401139,48.675697331861,34.2975879823263,53273000000.0,,117348446000.0,20.23118740133723,111.2993519247575,112.01789423230548,0.24524654490897,27960456.63333337,Technology Services,Internet Software/Services,NASDAQ:GOOGL,US,9690814664.547012,0.3577133254717665,39.109822380619576,0.4452064597170219,19.652260728846336,technology_strict,True,0.0,0.3577133254717665,priority,technology,5,usable,31.475594804726,22.250570250966,25.72186933985625,18.057333790706252,weak_history,0.5531887695930952,0.6769315764798337,pe,"2022,2023",0.6212473133808014,priority_refine
1929,Chow Tai Fook Jewellery Group Limited,13.6,134182106107.0,15.055906121997122,4.595836712625034,32.3792605592756,11.0904803518662,424900000.0,,28446300000.091103,5.289551173433863,52.21536641034534,52.58445945945947,3.97058823529412,15286438.333333334,Consumer Durables,Other Consumer Specialties,HKEX:1929,HK,207895561.33333337,0.4649861010394228,30.52514193025142,0.4932296844482883,5.726253771700285,stable_or_general,True,0.0,0.4649861010394228,priority,stable,3,usable,26.22827879726683,8.850890781631584,22.552389717313144,7.2511839457834295,weak_history,0.5740333263334859,0.6675969292264811,pe,"2024,2025",0.6254933079246332,priority_refine
300628,Yealink Network Technology Co. Ltd. Class A,40.2,50750400670.0,17.659462308908804,5.5210831211424525,32.3973539415752,29.3227751259034,1812548340.0,,5716193.569999999,20.59785435142559,14.131107312377456,14.185393258426974,4.47761194029851,15516174.300000004,Electronic Technology,Telecommunications Equipment,SZSE:300628,A,623750206.8600001,0.5450896496286567,31.264163226290243,0.5648467921910939,3.497787866652724,technology_strict,True,0.0,0.5450896496286567,priority,technology,5,usable,28.779600000000002,25.977942639806,26.575714285714284,23.736692129164286,weak_history,0.6136104153257447,0.6644962434142968,pe,"2021,2023",0.6415976207744484,priority_refine
6690,"Haier Smart Home Co., Ltd. Class H",21.28,215627599687.0,9.7965196574901,1.4427627279063395,15.1372927277349,5.78729124627148,17950448640.0,,84365738119.5501,0.5890393739793509,-8.946596767986561,-7.186805674243706,4.93984022556391,12577430.4,Consumer Durables,Electronics/Appliances,HKEX:6690,HK,267647718.91200003,0.6471777902227318,14.7272988607056,0.6651945988295602,2.708501938910779,stable_or_general,True,0.1,0.7471777902227318,watch,stable,3,usable,17.158651646141085,6.776097019371917,15.1372927277349,5.78729124627148,current_ttm,0.5709376155843399,0.6471777902227317,pe,"2023,2025",0.6928697116354554,priority_refine
9961,Trip.com Group Ltd.,348.8,226574736797.0,7.028474591298636,1.2842015776755105,20.0431517579795,12.21458179332,,,35603328537.1008,19.462330160959834,87.33605161616605,86.06849335612947,0.668480504587156,2549970.2666666666,Consumer Services,Other Consumer Services,HKEX:9961,HK,889429629.0133333,0.3506671343991838,18.27141239530655,0.3846705683849634,8.83962454641194,stable_or_general,False,0.25,0.6006671343991838,watch,stable,3,usable,15.263016786154333,9.111886669412,10.993557962276714,6.293741526729143,weak_history,0.460490523582103,0.6393266506999952,pe,"2023,2024",0.7088503934969438,priority_refine
600519,"Kweichow Moutai Co., Ltd. Class A",1297.4,1621855982741.0,19.94490324246878,6.455055543877238,33.2451371632829,27.085589260476,116933614800.0,,25670001536.23,-4.702317582417921,-9.452899828088526,-9.18759240153958,4.00656929243102,4306602.266666667,Consumer Non-Durables,Beverages: Alcoholic,SSE:600519,A,5587385780.773334,0.5999344549101946,32.364436494895884,0.6162598642993287,2.6491112491474067,stable_or_general,True,0.18,0.7799344549101945,priority,stable,3,usable,34.108333333333334,29.564656508508335,33.152499999999996,28.7193055572125,weak_history,0.5847516220611418,0.6016108360596872,pe,"2023,2025",0.7240241897603418,priority_refine
600690,"Haier Smart Home Co., Ltd. Class A",21.12,184979064900.3304,10.900082576383156,1.6548987589042878,15.2072781275765,5.81346498060283,15941610790.0,,72998167499.11,-2.8954969337870984,-12.37030990483521,-10.676747187903375,4.56931818181818,43501819.99999993,Consumer Durables,Electronics/Appliances,SSE:600690,A,918758438.3999988,0.7167674902070225,15.18244240176585,0.7179399919946596,0.1633147339208163,stable_or_general,True,0.18,0.8967674902070224,watch,stable,3,usable,17.255,6.947430395333334,15.2072781275765,5.81346498060283,current_ttm,0.6317057418941268,0.7167674902070225,pe,"2023,2025",0.8084897034662194,priority_refine
THC,Tenet Healthcare Corporation,266.8,21482467468.0,10.288803791586163,4.611264205389994,53.3127155941477,7.54863157894737,3023000000.0,,13248000000.0,5.433101314771848,51.01078167115903,66.00366178428763,0.0,1072630.6666666667,Health Services,Hospital/Nursing Management,NYSE:THC,US,286177861.8666667,0.1929896775454372,44.81827332698219,0.2295671615129345,15.933238763958158,stable_or_general,True,0.1,0.2929896775454372,priority,stable,3,usable,61.99766356445,6.277654092200001,37.623593460525,3.8267662137499996,weak_history,0.1659547021621288,0.2734668022176368,pe,"2023,2025",0.3250863571926582,watch_refine
RCI,"Rogers Communication, Inc.",36.59,19858019014.24445,4.567293673662911,1.6956271692905864,44.4148457467871,7.3664978983569,1931776000.0,,32171392000.0,4.210328521979984,288.7464312871445,285.15341998222095,3.93313667649951,1271682.4,Communications,Wireless Telecommunications,NYSE:RCI,US,46530859.016,0.1028325911498477,37.125424604691894,0.1230233383805043,16.4121275657532,stable_or_general,True,0.15,0.2528325911498477,priority,stable,3,usable,28.01935713301667,4.720390766433334,13.052110173028574,1.9910029321714287,weak_history,0.16300494161877221,0.3499276065797358,pe,"2023,2024",0.36581240734730225,watch_refine
2600,Aluminum Corporation of China Limited Class H,8.765,185911841973.0,7.633687510886605,1.538942352430967,22.3208309457286,7.392144248478881,37411261710.0,,73748649622.6418,6.65243949510868,46.957687110846166,46.753578732106355,3.46605818596691,43722291.53333333,Distribution Services,Wholesale Distributors,HKEX:2600,HK,383225885.28966665,0.3419983570256562,20.159881449643315,0.3786573611533647,9.681312946365972,stable_or_general,True,0.0,0.3419983570256562,priority,stable,3,usable,16.62123839120075,5.109515783353584,15.377791783667625,4.764677936830375,weak_history,0.45927308971922715,0.49640986289033756,pe,"2023,2025",0.5796983149633379,watch_refine
1585,Yadea Group Holdings Ltd.,9.59,28638163710.0,10.654371736473724,2.459497790555426,25.0412255172972,8.03549668944405,2997915420.0,,9026682180.3652,13.191990450510808,35.52397569544348,35.069027611044426,5.52659019812304,8181507.9,Consumer Durables,Motor Vehicles,HKEX:1585,HK,78460660.761,0.4254732552571849,23.084400013336175,0.4615399027186562,7.814415882359072,stable_or_general,True,0.0,0.4254732552571849,priority,cyclical,9,short_history,27.931104937031865,8.220591270911422,15.802182271155713,5.3714126151925,weak_history,0.31526096736618653,0.9849457327959836,pb,"2017,2018,2019,2024",0.683587588352575,watch_refine
000333,Midea Group Co. Ltd. Class A,86.23,647812602258.6729,14.796067194015,3.0842030716845623,20.690326160494,6.92787999351494,54879532000.0,,131260261000.0,5.398082370725765,1.1973150206955316,1.6340553172194765,4.98666357416212,29302000.133333325,Consumer Durables,Electronics/Appliances,SZSE:000333,A,2526711471.4973326,0.7151200555874528,20.8447490217679,0.7098222760352575,0.7463529577835137,stable_or_general,True,0.0,0.7151200555874528,watch,stable,3,usable,20.8625,7.2848183408333345,20.406666666666666,7.2370770899111125,weak_history,0.7092183196651888,0.7250604636073996,pe,"2024,2025",0.7179314988334047,watch_refine
