序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
86,600258,首旅酒店,24,13.0,11.0,0.0,0.0,0.0,0.726432090528,0.838666666667,0.943666666667,1.041318181818
87,600346,恒力石化,24,20.0,4.0,0.0,0.0,0.0,1.005040786835,1.796666666667,2.0125,2.262173913043
88,300285,国瓷材料,24,16.0,7.0,1.0,0.0,0.0,0.61212594034,0.84272,1.06596,1.293166666667
89,688271,联影医疗,24,16.0,8.0,0.0,0.0,0.0,2.268134062725,2.7972,3.486,4.321666666667
90,600398,海澜之家,24,21.0,3.0,0.0,0.0,0.0,0.450987827293,0.479875,0.521,0.564045454545
91,002832,比音勒芬,24,19.0,5.0,0.0,0.0,0.0,0.964930211678,1.277041666667,1.523208333333,1.737578947368
92,300760,迈瑞医疗,24,19.0,5.0,0.0,0.0,0.0,6.71379702026,7.12388,8.09132,9.252791666667
93,000596,古井贡酒,24,18.0,6.0,0.0,0.0,0.0,6.714166724064,6.74116,7.31316,8.21925
94,601689,拓普集团,24,19.0,5.0,0.0,0.0,0.0,1.599156522817,1.884125,2.296916666667,2.763217391304
95,002517,恺英网络,24,20.0,4.0,0.0,0.0,0.0,0.891026067112,1.262083333333,1.425416666667,1.587391304348
96,603606,东方电缆,24,17.0,7.0,0.0,0.0,0.0,1.541459523862,2.39219047619,2.964318181818,3.52355
97,603816,顾家家居,23,17.0,6.0,0.0,0.0,0.0,1.93365140862,2.387130434783,2.62347826087,2.864238095238
98,300888,稳健医疗,23,19.0,4.0,0.0,0.0,0.0,1.317334064161,1.641043478261,1.894782608696,2.137181818182
99,600036,招商银行,23,16.0,7.0,0.0,0.0,0.0,5.954873886859,5.993636363636,6.255454545455,6.614285714286
100,600048,保利发展,23,17.0,6.0,0.0,0.0,0.0,0.086437740014,0.131304347826,0.182173913043,0.235652173913
101,600188,兖矿能源,23,19.0,4.0,0.0,0.0,0.0,0.835017591502,1.718260869565,1.823043478261,1.996818181818
102,601211,国泰海通,23,17.0,6.0,0.0,0.0,0.0,1.581770890139,1.881363636364,2.000454545455,2.201
