序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
75,300498,温氏股份,26,18.0,8.0,0.0,0.0,0.0,0.791474567345,-0.162807692308,1.603153846154,1.84792
76,002832,比音勒芬,25,20.0,5.0,0.0,0.0,0.0,0.964930211678,1.29476,1.59348,1.853083333333
77,002078,太阳纸业,25,20.0,5.0,0.0,0.0,0.0,1.138894798554,1.33936,1.47876,1.618708333333
78,002372,伟星新材,25,17.0,8.0,0.0,0.0,0.0,0.465301389052,0.5064,0.55,0.609583333333
79,600188,兖矿能源,25,20.0,5.0,0.0,0.0,0.0,0.835017591502,1.6932,1.8164,1.970416666667
80,000425,徐工机械,25,20.0,5.0,0.0,0.0,0.0,0.561190636347,0.685,0.88436,1.06519047619
81,000001,平安银行,25,13.0,11.0,1.0,0.0,0.0,2.196907127249,2.1776,2.2564,2.351304347826
82,600096,云天化,25,20.0,5.0,0.0,0.0,0.0,2.828343313162,2.8832,3.0712,3.235833333333
83,600315,上海家化,25,17.0,8.0,0.0,0.0,0.0,0.398052082456,0.647,0.79512,0.958739130435
84,601601,中国太保,25,21.0,4.0,0.0,0.0,0.0,5.56165290497,5.959130434783,6.430869565217,6.991818181818
85,603983,丸美生物,25,11.0,14.0,0.0,0.0,0.0,0.616556461322,0.809615384615,0.992692307692,1.1584
86,605117,德业股份,25,17.0,8.0,0.0,0.0,0.0,2.490233527312,5.092625,6.336913043478,7.594565217391
87,601336,新华保险,25,20.0,5.0,0.0,0.0,0.0,11.631177428156,12.093636363636,12.866818181818,14.080952380952
88,300888,稳健医疗,25,20.0,5.0,0.0,0.0,0.0,1.317334064161,1.61456,1.8516,2.084083333333
89,300832,新产业,24,14.0,10.0,0.0,0.0,0.0,2.062127358989,2.3576,2.7644,3.2425
90,003000,劲仔食品,24,19.0,5.0,0.0,0.0,0.0,0.538344961883,0.57348,0.69948,0.831416666667
91,000786,北新建材,24,14.0,10.0,0.0,0.0,0.0,1.707389703866,1.908958333333,2.187125,2.484434782609
92,300759,康龙化成,24,18.0,6.0,0.0,0.0,0.0,0.905629840751,1.094583333333,1.39125,1.72
93,603195,公牛集团,24,16.0,8.0,0.0,0.0,0.0,2.257141454447,2.33775,2.482541666667,2.62
94,600346,恒力石化,24,20.0,4.0,0.0,0.0,0.0,1.005040786835,1.7925,2.014166666667,2.26347826087
95,002001,新和成,24,18.0,6.0,0.0,0.0,0.0,2.20086923617,2.653333333333,2.880416666667,3.137272727273
96,603606,东方电缆,24,17.0,7.0,0.0,0.0,0.0,1.541459523862,2.352666666667,2.9325,3.49405
97,300760,迈瑞医疗,24,19.0,5.0,0.0,0.0,0.0,6.71379702026,7.11748,8.14412,9.278625
98,603816,顾家家居,24,18.0,6.0,0.0,0.0,0.0,1.93365140862,2.19975,2.429166666667,2.654045454545
99,300285,国瓷材料,24,16.0,7.0,1.0,0.0,0.0,0.61212594034,0.84272,1.06596,1.293166666667
100,603486,科沃斯,24,19.0,5.0,0.0,0.0,0.0,3.034816491841,3.705416666667,4.3575,5.180869565217
101,000596,古井贡酒,24,18.0,6.0,0.0,0.0,0.0,6.714166724064,5.82604,6.47072,7.325125
102,002517,恺英网络,24,20.0,4.0,0.0,0.0,0.0,0.891026067112,1.26625,1.427916666667,1.59
103,002463,沪电股份,24,18.0,6.0,0.0,0.0,0.0,1.986270368622,3.2325,5.0675,7.547272727273
104,600398,海澜之家,24,21.0,3.0,0.0,0.0,0.0,0.450987827293,0.458541666667,0.500208333333,0.544956521739
105,605338,巴比食品,23,19.0,4.0,0.0,0.0,0.0,1.139720834237,1.248695652174,1.431304347826,1.62
106,600970,中材国际,23,18.0,5.0,0.0,0.0,0.0,1.091665057888,1.099130434783,1.199086956522,1.298909090909
107,600036,招商银行,23,16.0,7.0,0.0,0.0,0.0,5.954873886859,6.005,6.273636363636,6.652857142857
108,600048,保利发展,23,17.0,6.0,0.0,0.0,0.0,0.086437740014,0.131304347826,0.182173913043,0.235652173913
