name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,extreme_roe_review_required,roe_reliability_precheck,rank_penalty,screen_rank,stage1_tier,history_type,cycle_phase_status,history_years,history_status,historical_neutral_roe,historical_neutral_roa,historical_bear_roe,historical_bear_roa,bear_anchor_source,historical_neutral_pr,historical_bear_pr,historical_pr_path,weak_years,market_normalized_neutral_pr,market_normalized_bear_pr,stage2_rank,stage2_tier
SYY,Sysco Corporation,81.15,38878644428.47497,22.207323080291175,14.566322088934443,78.1138790035587,6.36566312011745,1938000000.0,,14967000000.0,3.910484079094518,-3.938730853391685,-2.142359809329979,2.67636901825358,3057245.3666666667,Distribution Services,Food Distributors,NYSE:SYY,US,248095461.50500005,0.2842942043536137,65.59242658950615,0.3385653532727211,1.0,0.2842942043536137,16.029740903639034,stable_or_general,True,True,review_possible_equity_or_leverage_distortion,0.1,0.3842942043536137,priority,stable,not_applicable,3,usable,92.76555304179999,7.210875405533333,78.1138790035587,6.36566312011745,current_ttm,0.23939191167528098,0.28429420435361374,pe,"2025,2026",0.23939191167528098,0.28429420435361374,0.34408817264836405,priority_refine
600961,"Zhuzhou Smelter Group Co., Ltd. Class A",25.37,28559874909.0,10.940532148863683,4.644478617457528,53.679940778415,27.0892523869734,2803095330.0,,1335391190.83,23.464480803310217,148.52706859556076,148.54233654876742,0.0,52378909.9,Non-Energy Minerals,Other Metals/Minerals,SSE:600961,A,1328852944.163,0.2038104362675253,42.45203573520797,0.2577151356675708,1.0,0.2038104362675253,20.91638865540969,cyclical,True,True,review_high_roa_supports_follow_up,0.0,0.2038104362675253,priority,stable,not_applicable,3,usable,32.89,9.300155086833334,29.854999999999997,10.4356379437,weak_history,0.3326400774966155,0.36645560706292696,pe,"2024,2025",0.3326400774966155,0.36645560706292696,0.3512386187580868,priority_refine
GCT,GigaCloud Technology Inc,50.87,1816579737.0,12.051932052405885,3.4485400141141347,32.3435187324092,13.2513299452503,160189910.0,,506256000.0,22.86391702488589,17.092139011026813,27.059000602046968,0.0,634760.6333333333,Distribution Services,Wholesale Distributors,NASDAQ:GCT,US,32290273.417666662,0.3726227857926131,28.61400146564646,0.4211900270877965,1.0,0.3726227857926131,11.530957091028093,stable_or_general,True,False,not_triggered,0.0,0.3726227857926131,priority,stable,not_applicable,3,usable,35.25556614193333,13.361089079566664,32.3435187324092,13.2513299452503,current_ttm,0.3418448027153135,0.37262278579261315,pe,"2024,2025",0.3418448027153135,0.37262278579261315,0.35877269340782836,priority_refine
CDW,CDW Corporation,151.245,18908261454.259228,18.179359584595417,7.760125438557785,44.0103477074125,6.64380928952507,860200000.0,,6429500000.0,7.414195801319115,0.3343549735302312,3.423584694562535,1.63721413721414,1821390.0,Technology Services,Information Technology Services,NASDAQ:CDW,US,275476130.55,0.4130701194513292,42.6864620970117,0.425881150405015,1.0,0.4130701194513292,3.0081234967789694,technology_strict,True,True,review_possible_equity_or_leverage_distortion,0.0,0.4130701194513292,priority,technology,not_applicable,5,usable,60.688333345454005,7.779225658436,44.0103477074125,6.64380928952507,current_ttm,0.2995527901732563,0.41307011945132927,pe,"2024,2025",0.2995527901732563,0.41307011945132927,0.3619873212761965,priority_refine
002668,"Guangdong TCL Smart Home Appliances Co., Ltd. Class A",9.27,10158124164.0,10.08485639686684,2.6251847824240055,28.90820095028,6.05686233298588,1479687900.0,,5129086626.04,0.6009284337096154,-9.280770751900558,-9.277536517962895,2.17491995731057,24142650.89999988,Consumer Durables,Electronics/Appliances,SZSE:002668,A,223802373.8429989,0.3488579733554522,26.03095848979661,0.3874177895070523,1.0,0.3488579733554522,9.953031893724674,stable_or_general,True,True,not_triggered,0.1,0.4488579733554523,priority,stable,not_applicable,3,usable,49.54666666666667,13.8981413128,28.90820095028,6.05686233298588,current_ttm,0.20354258066873332,0.34885797335545227,pe,"2024,2025",0.20354258066873332,0.34885797335545227,0.3634660466464288,priority_refine
CROX,"Crocs, Inc.",116.68,5594231569.504698,10.080519749801294,4.0531621473283455,42.29964170786991,13.4764265750107,704620000.0,,1689202000.0,-2.0251147769614413,150.88635316301037,210.80798045165275,0.0,1007095.4,Consumer Non-Durables,Apparel/Footwear,NASDAQ:CROX,US,117507891.272,0.2383121781366247,40.20786872034293,0.2507101239290785,1.0,0.2383121781366247,4.945131691594929,stable_or_general,True,True,review_high_roa_supports_follow_up,0.08,0.3183121781366247,priority,stable,not_applicable,3,usable,40.78124885126667,11.873228380099999,26.28556456165,9.14378114695,weak_history,0.24718516557857184,0.3835002183863506,pe,"2024,2025",0.24718516557857184,0.3835002183863506,0.3721584446228502,priority_refine
PEP,"PepsiCo, Inc.",138.11,188505167984.62292,18.113499547523183,8.537345244777205,51.589495507947504,9.60861290648818,9282000000.0,,53214000000.0,5.624284702163606,38.42384105960265,39.01002734731084,4.10477074703614,6822031.033333333,Consumer Non-Durables,Food: Specialty/Candy,NASDAQ:PEP,US,942190706.0136667,0.3511082899566782,47.13250038943794,0.3843101765842723,1.0,0.3511082899566782,8.639346197566411,stable_or_general,True,True,review_possible_equity_or_leverage_distortion,0.0,0.3511082899566782,priority,stable,not_applicable,3,usable,48.72879318576666,8.9883191568,46.883688903,8.6925686523,weak_history,0.37172066787022356,0.3863497086374561,pe,"2023,2025",0.37172066787022356,0.3863497086374561,0.3797666402922015,priority_refine
TJX,"TJX Companies, Inc. (The)",132.5,145746557561.99408,24.50663066195646,13.698686787022124,62.17144028283029,17.3342857142857,5876000000.0,,14317000000.0,7.661631419939577,21.97426618415762,23.37585286265203,1.36924124366442,6523539.2,Retail Trade,Apparel/Footwear Retail,NYSE:TJX,US,864368944.0,0.3941782681963118,55.89787913312644,0.4384178978166855,1.0,0.3941782681963118,10.090744433720978,stable_or_general,True,True,review_high_roa_supports_follow_up,0.0,0.3941782681963118,priority,stable,not_applicable,3,usable,62.19573307173333,15.831889653266666,60.55541725725,16.04678793625,weak_history,0.3940243076432878,0.4046975773917635,pe,"2025,2026",0.3940243076432878,0.4046975773917635,0.3998946060049494,priority_refine
002847,Yankershop Food Co. Ltd. Class A,45.45,11767557843.0,15.439228208438074,5.846757075926798,37.44584590495,19.198646413515,438642260.0,,1214645263.37,1.837936822751901,15.536413454631331,4.3013038548752816,3.15031503150315,4288477.7,Consumer Non-Durables,Food: Major Diversified,SZSE:002847,A,194911311.46500003,0.4123081702474546,37.86949060530981,0.4076956928032532,1.0,0.4123081702474546,1.131352998234214,stable_or_general,True,True,not_triggered,0.0,0.4123081702474546,priority,stable,not_applicable,3,usable,38.86666666666667,19.449196215833332,37.44584590495,19.198646413515,current_ttm,0.3972357171982352,0.4123081702474546,pe,"2023,2025",0.3972357171982352,0.4123081702474546,0.4055255663753059,priority_refine
ADBE,Adobe Inc.,265.38,105488550000.0,15.178535681398316,9.193142244286502,62.9539318993294,24.9104066161268,10280000000.0,,7065000000.0,11.49064200699084,5.2409375454942495,11.805369041681042,0.0,4639307.5,Technology Services,Packaged Software,NASDAQ:ADBE,US,1231179424.35,0.241105443670628,60.56672683882763,0.2506084854443179,1.0,0.241105443670628,3.791987233329907,technology_strict,True,True,review_high_roa_supports_follow_up,0.0,0.241105443670628,priority,technology,not_applicable,5,usable,42.005208337206,20.316036447328,33.55414014024167,17.997433223033333,weak_history,0.3613488965356224,0.4523595484181283,pe,"2021,2022",0.3613488965356224,0.4523595484181283,0.4114047550710007,priority_refine
